,ulsd
2025-04-17,2.1522998809814453
2025-04-21,2.1089000701904297
2025-04-22,2.1486001014709473
2025-04-23,2.1268999576568604
2025-04-24,2.143699884414673
2025-04-25,2.16729998588562
2025-04-28,2.17549991607666
2025-04-29,2.1203999519348145
2025-04-30,2.0367000102996826
2025-05-01,2.01200008392334
2025-05-02,1.9931999444961548
2025-05-05,1.9744999408721924
2025-05-06,2.0088000297546387
2025-05-07,1.9766000509262085
2025-05-08,2.0399999618530273
2025-05-09,2.0664000511169434
2025-05-12,2.1110999584198
2025-05-13,2.171299934387207
2025-05-14,2.2060999870300293
2025-05-15,2.1659998893737793
2025-05-16,2.1405999660491943
2025-05-19,2.127700090408325
2025-05-20,2.1289000511169434
2025-05-21,2.1391000747680664
2025-05-22,2.117500066757202
2025-05-23,2.10479998588562
2025-05-27,2.079400062561035
2025-05-28,2.088099956512451
2025-05-29,2.0481998920440674
2025-05-30,2.017199993133545
2025-06-02,2.0445001125335693
2025-06-03,2.099900007247925
2025-06-04,2.0701000690460205
2025-06-05,2.0945000648498535
2025-06-06,2.1252999305725098
2025-06-09,2.146399974822998
2025-06-10,2.1415998935699463
2025-06-11,2.2053000926971436
2025-06-12,2.188699960708618
2025-06-13,2.3587000370025635
2025-06-16,2.3933000564575195
2025-06-17,2.5051000118255615
2025-06-18,2.533400058746338
2025-06-20,2.541800022125244
2025-06-23,2.363100051879883
2025-06-24,2.285099983215332
2025-06-25,2.2964000701904297
2025-06-26,2.360100030899048
2025-06-27,2.3071999549865723
2025-06-30,2.3457999229431152
2025-07-01,2.326900005340576
2025-07-02,2.4117000102996826
2025-07-03,2.369800090789795
2025-07-04,2.4089999198913574
2025-07-07,2.421099901199341
2025-07-08,2.4412999153137207
2025-07-09,2.4091999530792236
2025-07-10,2.383500099182129
2025-07-11,2.4474000930786133
2025-07-14,2.3898000717163086
2025-07-15,2.4052000045776367
2025-07-16,2.3914999961853027
2025-07-17,2.464600086212158
2025-07-18,2.453000068664551
2025-07-21,2.509200096130371
2025-07-22,2.4518001079559326
2025-07-23,2.4489998817443848
2025-07-24,2.412899971008301
2025-07-25,2.4061999320983887
2025-07-28,2.4265999794006348
2025-07-29,2.4637999534606934
2025-07-30,2.4184999465942383
